place_1_id,place_2_id,count,place_1_name,place_1_long,place_1_lat,place_2_name,place_2_long,place_2_lat
10580,38060,3,"Albany-Schenectady-Troy, NY",-73.80160689655172,42.72449655172414,"Phoenix-Mesa-Scottsdale, AZ",-112.02755102040817,33.43311734693878
14860,38060,3,"Bridgeport-Stamford-Norwalk, CT",-73.40778740157481,41.162488188976376,"Phoenix-Mesa-Scottsdale, AZ",-112.02755102040817,33.43311734693878
16620,23180,3,"Charleston, WV",-81.63950877192983,38.33705263157895,"Frankfort, KY",-84.8758524590164,38.18680327868852
23180,38060,7,"Frankfort, KY",-84.8758524590164,38.18680327868852,"Phoenix-Mesa-Scottsdale, AZ",-112.02755102040817,33.43311734693878
31540,38060,4,"Madison, WI",-89.40021100917431,43.07270642201835,"Phoenix-Mesa-Scottsdale, AZ",-112.02755102040817,33.43311734693878
36420,38060,4,"Oklahoma City, OK",-97.50632258064516,35.42937634408602,"Phoenix-Mesa-Scottsdale, AZ",-112.02755102040817,33.43311734693878
38060,23180,7,"Phoenix-Mesa-Scottsdale, AZ",-112.02755102040817,33.43311734693878,"Frankfort, KY",-84.8758524590164,38.18680327868852
39580,23180,2,"Raleigh, NC",-78.65281052631579,35.7816,"Frankfort, KY",-84.8758524590164,38.18680327868852
44140,16620,1,"Springfield, MA",-72.5877265625,42.2362265625,"Charleston, WV",-81.63950877192983,38.33705263157895
46060,38060,5,"Tucson, AZ",-110.98072463768116,32.21471014492754,"Phoenix-Mesa-Scottsdale, AZ",-112.02755102040817,33.43311734693878
46140,36420,3,"Tulsa, OK",-95.96454545454546,36.12283636363637,"Oklahoma City, OK",-97.50632258064516,35.42937634408602
