week,count
2017-01-23,121
2017-01-30,121
2017-02-06,54
2017-02-13,110
2017-02-20,13
2017-02-27,20
2017-03-06,21
2017-03-13,22
2017-03-20,12
2017-03-27,16
2017-04-03,14
2017-04-10,7
2017-04-17,11
2017-04-24,10
2017-05-01,113
2017-05-08,5
2017-05-15,7
2017-05-22,5
2017-05-29,5
2017-06-05,10
2017-06-12,7
2017-06-19,7
2017-06-26,7
2017-07-03,6
2017-07-10,4
2017-07-17,10
2017-07-24,6
2017-07-31,7
2017-08-07,10
2017-08-14,15
2017-08-21,2
2017-08-28,31
2017-09-04,166
2017-09-11,23
2017-09-18,17
2017-09-25,13
2017-10-02,7
2017-10-09,6
2017-10-16,7
2017-10-23,4
2017-10-30,7
2017-11-06,9
2017-11-13,5
2017-11-20,9
2017-11-27,5
2017-12-04,25
2017-12-11,6
2017-12-18,10
2018-01-01,2
2018-01-08,13
2018-01-15,23
2018-01-22,22
2018-01-29,11
2018-02-05,11
2018-02-12,9
2018-02-19,3
2018-02-26,14
2018-03-05,41
2018-03-12,10
2018-03-19,5
2018-03-26,4
2018-04-02,12
2018-04-09,10
2018-04-16,11
2018-04-23,7
2018-04-30,25
2018-05-07,4
2018-05-14,5
2018-05-21,4
2018-05-28,27
2018-06-04,23
2018-06-11,74
2018-06-18,155
2018-06-25,665
2018-07-02,28
2018-07-09,25
2018-07-16,15
2018-07-23,20
2018-07-30,10
2018-08-06,16
2018-08-13,8
2018-08-20,8
2018-08-27,5
2018-09-03,3
2018-09-10,2
2018-09-17,7
2018-09-24,6
2018-10-01,11
2018-10-08,5
2018-10-15,4
2018-10-22,8
2018-10-29,4
2018-11-05,8
2018-11-12,4
2018-11-19,3
2018-11-26,13
2018-12-03,2
2018-12-10,11
2018-12-17,3
2018-12-24,3
2018-12-31,5
2019-01-07,8
2019-01-14,5
2019-01-21,7
2019-01-28,3
2019-02-04,8
2019-02-11,14
2019-02-18,114
2019-02-25,3
2019-03-04,2
2019-03-11,6
2019-03-18,6
2019-03-25,8
2019-04-01,9
2019-04-08,6
2019-04-15,4
2019-04-22,6
2019-04-29,29
2019-05-06,7
2019-05-13,5
2019-05-20,3
2019-05-27,1
2019-06-03,6
2019-06-10,4
2019-06-17,5
2019-06-24,25
2019-07-01,87
2019-07-08,200
2019-07-15,23
2019-07-22,15
2019-07-29,17
2019-08-05,21
2019-08-12,12
2019-08-19,9
2019-08-26,5
2019-09-02,5
